Key,en,fr,reviewed
Fin <<,Fin <<,Nageoires <<,False
Fin << Outline,Fin << Outline,Contour Nageoires <<,False
Hair Framing >>,Hair Framing >>,Mèche Visage Côté >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Contour Mèche Visage Côté >>,False
Hair Framing <<,Hair Framing <<,Mèche Visage Côté <<,False
Hair Framing << Outline,Hair Framing << Outline,Contour Mèche Visage Côté <<,False
Gill,Gill,Branchies ,False
Gill Outline,Gill Outline,Contour Branchies ,False
Glasses,Glasses,Lunettes,False
Hairband A,Hairband A,Bandeau A,False
Hairband A Outline,Hairband A Outline,Contour Bandeau A,False
Hairband B,Hairband B,Bandeau B,False
Hairband B Outline,Hairband B Outline,Contour Bandeau B,False
Hairband C,Hairband C,Bandeau C,False
Hairband C Outline,Hairband C Outline,Contour Bandeau C,False
Hairband D,Hairband D,Bandeau D,False
Hairband D Outline,Hairband D Outline,Contour Bandeau D,False
Hair Bang >>,Hair Bang >>,Frange Côté >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Contour Frange Côté >>,False
Hair Bang ><,Hair Bang ><,Frange ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Contour Frange ><,False
Hair Bang <<,Hair Bang <<,Frange Côté <<,False
Hair Bang << Outline,Hair Bang << Outline,Contour Frange Côté <<,False
Hair Clip >>,Hair Clip >>,Pince à Cheveux >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Contour Pince à Cheveux >>,False
Hair Clip <<,Hair Clip <<,Pince à Cheveux <<,False
Hair Clip << Outline,Hair Clip << Outline,Contour Pince à Cheveux <<,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Mèches Individuelle 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Contour Mèches Individuelle 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Mèches Individuelle 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Contour Individuelle 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Mèches Individuelle 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Contour Mèches Individuelle 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Mèches Individuelle 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Contour Mèches Individuelle 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Mèches Individuelle 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Contour Mèches Individuelle 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Mèches Individuelle 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Contour Mèches Individuelle 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Mèches Individuelle 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Contour Mèches Individuelle 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Mèches Individuelle 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Contour Mèches Individuelle 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Mèches Individuelle 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Contour Mèches Individuelle 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Mèches Individuelle 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Contour Mèches Individuelle 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Mèches Individuelle 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Contour Mèches Individuelle 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Mèches Individuelle 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Contour Mèches Individuelle 3 <<,False
Hairline Outline,Hairline Outline,Contour Implantation Cheveux,False
Hair Shine,Hair Shine,Lumière Cheveux,False
Hair Shine Outline,Hair Shine Outline,Contour Lumière Cheveux,False
Halo,Halo,Halo,False
Halo Outline,Halo Outline,Contour du Halo,False
Hat,Hat,Chapeau,False
Hat Outline,Hat Outline,Contour Chapeau,False
Hat Secondary,Hat Secondary,Chapeau Secondaire,False
Hat Secondary Outline,Hat Secondary Outline,Contour Chapeau Secondaire,False
Hammer,Hammer,Marteau,False
Ear Wing >>,Ear Wing >>,Aile d'Oreille >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Contour Aile d'Oreille >>,False
Ear Wing <<,Ear Wing <<,Aile d'Oreille <<,False
Ear Wing << Outline,Ear Wing << Outline,Contour Aile d'Oreille <<,False
Heart,Heart,Cœur,False
Horn >>,Horn >>,Corne >>,False
Horn >> Outline,Horn >> Outline,Contour Corne >>,False
Horn <<,Horn <<,Corne <<,False
Horn << Outline,Horn << Outline,Contour Corne <<,False
Horn ><,Horn ><,Corne ><,False
Horn >< Outline,Horn >< Outline,Contour Corne ><,False
Jail Grill,Jail Grill,Grille de Prison,False
Keyboard,Keyboard,Clavier,False
Kitchen Knife,Kitchen Knife,Couteau de Cuisine,False
Laptop,Laptop,Ordinateur Portable,False
Laptop Light,Laptop Light,Lumière Ordinateur Portable,False
Leg >>,Leg >>,Jambe >>,False
Leg <<,Leg <<,Jambe <<,False
Lightstick Handle,Lightstick Handle,Bâton Lumineux Poignée,False
Light Stick >>,Light Stick >>,Bâton lumineux >>,False
Light Stick <<,Light Stick <<,Bâton lumineux <<,False
Mecha,Mecha,Mecha,False
Mecha >>,Mecha >>,Mecha >>,False
Mecha >> Outline,Mecha >> Outline,Contour Mecha >>,False
Mecha Outline,Mecha Outline,Contour du Mecha,False
Mecha <<,Mecha <<,Mecha <<,False
Mecha << Outline,Mecha << Outline,Contour Mecha <<,False
Mouse,Mouse,Souris,False
Mouth/Tongue,Mouth/Tongue,Bouche/Langue,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Ombre Bouche/Langue,False
Notepad,Notepad,Bloc-Notes,False
Outfit Collar,Outfit Collar,Tenue Col,False
Outfit Collar Outline,Outfit Collar Outline,Contour Tenue Col,False
Outfit Inner,Outfit Inner,Tenue Intérieure,False
Outfit Inner Outline,Outfit Inner Outline,Contour Tenue Intérieure,False
Outfit Neckwear A,Outfit Neckwear A, Cravate A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Contour Cravate A,False
Outfit Neckwear B,Outfit Neckwear B,Cravate B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Contour Cravate B,False
Outfit Neckwear C,Outfit Neckwear C,Cravate C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Contour Cravate C,False
Outfit Outer,Outfit Outer,Tenue Extérieure,False
Outfit Outer Outline,Outfit Outer Outline,Contour Tenue Extérieure,False
Pencil,Pencil,Crayon,False
Phone,Phone,Téléphone,False
Phone Light,Phone Light,Lumière du Téléphone,False
Hair Pigtail >>,Hair Pigtail >>,Queue de cochon >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Contour Couettes >>,False
Hair Pigtail <<,Hair Pigtail <<,Couettes <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Contour Couettes <<,False
Rose,Rose,Rose,False
Round Sign,Round Sign,Panneau Rond,False
Round Sign Text,Round Sign Text,Texte Panneau Rond,False
Hair Side,Hair Side,Cheveux Côtés,False
Hair Side Outline,Hair Side Outline,Contour Cheveux Côtés,False
Skin,Skin,Peau,False
Skin Outline,Skin Outline,Contour Peau,False
Square Sign,Square Sign,Panneau Carré,False
Square Sign Text,Square Sign Text,Texte Panneau Carré,False
Steering Wheel,Steering Wheel,Volant,False
Gas Bottle,Gas Bottle,Bouteille de Gaz,False
Pat Hand,Pat Hand,Main Pat,False
Sticker Alert,Sticker Alert,Alerte (Coeur, Pouce etc...),False
Sticker Alert Effect,Sticker Alert Effect,Effet Alerte (Coeur, Pouce etc...),False
Sticker Alert Outline,Sticker Alert Outline,Contour Alerte (Coeur, Pouce etc...),False
Sticker Angry,Sticker Angry,Colère,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Point d'Exclamation,False
Sticker Ghost,Sticker Ghost,Fantôme,False
Sticker Heart,Sticker Heart,Coeur,False
Sticker Laugh,Sticker Laugh,Rire,False
Sticker Question Mark,Sticker Question Mark,Point d'Interrogation,False
Sticker Sleep,Sticker Sleep,Sommeil,False
Sticker Star,Sticker Star,Étoile,False
Sticker Steam,Sticker Steam,Vapeur,False
Sticker Surprise,Sticker Surprise,Surprise,False
Sticker Sweat,Sticker Sweat,Sueur,False
Sticker Sweat (Large),Sticker Sweat (Large),Sueur (Grande),False
Sticker Volume,Sticker Volume,Volume,False
Sticky Note,Sticky Note,Post-it,False
Sticky Note Text,Sticky Note Text,Texte Post-it,False
Eye Tear,Eye Tear,Larmes,False
Utensil,Utensil,Ustensile,False
Outfit Collar String,Outfit Collar String,Tenue Lacets Hoodie,False
Bell,Bell,Cloche,False
Confetti 1,Confetti 1,Confetti 1,False
Confetti 2,Confetti 2,Confetti 2,False
Confetti 3,Confetti 3,Confetti 3,False
Microphone,Microphone,Micro,False
Gleam,Gleam,Lumière Lunettes de Soleil,False
Video Camera,Video Camera,Caméra,False
Point Hand,Point Hand,Pointer de la main,False
Bowl,Bowl,Bol,False
Cake,Cake,Gâteau,False
Candle Fire,Candle Fire,Feu de Bougie,False
Drawing Tablet,Drawing Tablet,Tablette Graphique,False
Love Letter,Love Letter,Lettre d'Amour,False
Popper,Popper,Bouton,False
Stylus,Stylus,Stylet,False
Tablet,Tablet,Tablette,False
Musical Note 1,Musical Note 1,Note de Musique 1,False
Musical Note 2,Musical Note 2,Note de Musique 2,False
Phone Screen,Phone Screen,Écran de Téléphone,False
Tail,Tail,Queue,False
Tail Outline,Tail Outline,Contour Queue,False
Wing >>,Wing >>,Aile >>,False
Wing >> Outline,Wing >> Outline,Contour Aile >>,False
Wing <<,Wing <<,Aile <<,False
Wing << Outline,Wing << Outline,Contour Aile <<,False
Cape,Cape,Cape,False
Cape Outline,Cape Outline,Contour Cape,False
Cheek,Cheek,Joues,False
Cockroach,Cockroach,Cafard,False
Controller,Controller,Manette,False
Donut,Donut,Donut,False
Earring >>,Earring >>,Boucle d'Oreille >>,False
Earring <<,Earring <<,Boucle d'Oreille <<,False
Earring >> Outline,Earring >> Outline,Contour Boucle d'Oreille >>,False
Earring << Outline,Earring << Outline,Contour Boucle d'Oreille <<,False
Face Feature A >>,Face Feature A >>,Caractéristique Faciale A >>,False
Face Feature A <<,Face Feature A <<,Caractéristique Faciale A <<,False
Face Feature B >>,Face Feature B >>,Caractéristique Faciale B >>,False
Face Feature B <<,Face Feature B <<,Caractéristique Faciale B <<,False
Face Feature C,Face Feature C,Caractéristique Faciale C,False
Facial Hair A,Facial Hair A,Barbe,False
Facial Hair A Outline,Facial Hair A Outline,Contour Barbe,False
Facial Hair B,Facial Hair B,Moustache,False
Facial Hair B Outline,Facial Hair B Outline,Contour Moustache,False
Glove >>,Glove >>,Gant >>,False
Glove >> Outline,Glove >> Outline,Contour Gant >> Aperçu,False
Glove <<,Glove <<,Gant <<,False
Glove << Outline,Glove << Outline,Contour Gant << Aperçu,False
Hand >>,Hand >>,Main >>,False
Hand >> Outline,Hand >> Outline,Contour Main >>,False
Hand <<,Hand <<,Main <<,False
Hand << Outline,Hand << Outline,Contour Main <<,False
Gun,Gun,Pistolet,False
Gun Flash,Gun Flash,Flash de Pistolet,False
Lubricant,Lubricant,Dégrippant,False
Megaphone,Megaphone,Mégaphone,False
Nose,Nose,Nez,False
Piercing A >>,Piercing A >>,Piercing A >>,False
Piercing A >> Outline,Piercing A >> Outline,Contour Piercing A >>,False
Piercing A <<,Piercing A <<,Piercing A <<,False
Piercing A << Outline,Piercing A << Outline,Contour Piercing A <<,False
Piercing B >>,Piercing B >>,Piercing B >>,False
Piercing B >> Outline,Piercing B >> Outline,Contour Piercing B >>,False
Piercing B <<,Piercing B <<,Piercing B <<,False
Piercing B << Outline,Piercing B << Outline,Contour Piercing B <<,False
Pixel Sun Glasses,Pixel Sun Glasses,Lunettes de Soleil Pixel,False
Pompom >>,Pompom >>,Pompon >>,False
Pompom <<,Pompom <<,Pompon <<,False
Spray,Spray,Pulvérisateur,False
Sticker Light Bulb,Sticker Light Bulb,Ampoule,False
Sticker Loading,Sticker Loading,Chargement,False
Sunglasses,Sunglasses,Lunettes de Soleil,False
Sunglasses Reflection,Sunglasses Reflection,Réflexion Lunettes de Soleil,False
Tape,Tape,Ruban Adhésif,False
Toilet,Toilet,Toilettes,False
Trash Bin,Trash Bin,Poubelle,False
Wave Hand,Wave Hand,Main Coucou,False
Swatter,Swatter,Tapette à Mouche,False
