Key,en,tr,reviewed
Lightstick Handle,Lightstick Handle,Işık Çubuğu Tutacağı,True
Light Stick >>,Light Stick >>,Işık Çubuğu >>,True
Light Stick <<,Light Stick <<,Işık Çubuğu <<,True
Mecha,Mecha,Mecha,True
Mecha >>,Mecha >>,Mecha >>,True
Mecha >> Outline,Mecha >> Outline,Mecha >> Anahat,True
Mecha Outline,Mecha Outline,Mecha Anahat,True
Mecha <<,Mecha <<,Mecha <<,True
Mecha << Outline,Mecha << Outline,Mecha << Anahat,True
Mouse,Mouse,Fare,True
Mouth/Tongue,Mouth/Tongue,Ağız/Dil,True
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Ağız/Dil Gölgesi,True
Notepad,Notepad,Not Defteri,True
Outfit Collar,Outfit Collar,Kıyafet Yaka,True
Outfit Collar Outline,Outfit Collar Outline,Kıyafet Yaka Anahat,True
Outfit Inner,Outfit Inner,Kıyafet İçi,True
Outfit Inner Outline,Outfit Inner Outline,Kıyafet İçi Anahat,True
Outfit Neckwear A,Outfit Neckwear A,Boyun Takıları A,True
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Boyun Takıları A Anahat,True
Outfit Neckwear B,Outfit Neckwear B,Boyun Takıları B,True
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Boyun Takıları B Anahat,True
Outfit Neckwear C,Outfit Neckwear C,Boyun Takıları C,True
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Boyun Takıları C Anahat,True
Outfit Outer,Outfit Outer,Kıyafet Dışı,True
Outfit Outer Outline,Outfit Outer Outline,Kıyafet Dışı Anahat,True
Pencil,Pencil,Kalem,True
Phone,Phone,Telefon,True
Phone Light,Phone Light,Telefon Işığı,True
Hair Pigtail >>,Hair Pigtail >>,Saç Topuzu >>,True
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Saç Topuzu >> Anahat,True
Hair Pigtail <<,Hair Pigtail <<,Saç Topuzu <<,True
Hair Pigtail << Outline,Hair Pigtail << Outline,Saç Topuzu << Anahat,True
Rose,Rose,Gül,True
Round Sign,Round Sign,Yuvarlak İşaret,True
Round Sign Text,Round Sign Text,Yuvarlak İşaret Metni,True
Hair Side,Hair Side,Saçın Yanı,True
Hair Side Outline,Hair Side Outline,Saçın Yanı Anahat,True
Skin,Skin,Deri,True
Skin Outline,Skin Outline,Deri Anahat,True
Square Sign,Square Sign,Kare İşaret,True
Square Sign Text,Square Sign Text,Kare İşaret Metni,True
Steering Wheel,Steering Wheel,Direksiyon,True
Gas Bottle,Gas Bottle,Gaz Şişesi,True
Pat Hand,Pat Hand,Okşayan El,True
Sticker Alert,Sticker Alert,Bildirim Sembolü,True
Sticker Alert Effect,Sticker Alert Effect,Bildirim Çizgileri,True
Sticker Alert Outline,Sticker Alert Outline,Bildirim Sembolü Anahat,True
Sticker Angry,Sticker Angry,İşaret Sinirli,True
Sticker Exclamation Mark,Sticker Exclamation Mark,İşaret Ünlem,True
Sticker Ghost,Sticker Ghost,İşaret Hayalet,True
Sticker Heart,Sticker Heart,İşaret Kalp,True
Sticker Laugh,Sticker Laugh,İşaret Gülmek,True
Sticker Question Mark,Sticker Question Mark,İşaret Soru,True
Sticker Sleep,Sticker Sleep,İşaret Uyku,True
Sticker Star,Sticker Star,İşaret Yıldız,True
Sticker Steam,Sticker Steam,İşaret Buhar,True
Sticker Surprise,Sticker Surprise,İşaret Sürpriz,True
Sticker Sweat,Sticker Sweat,İşaret Ter,True
Sticker Sweat (Large),Sticker Sweat (Large),İşaret Ter (Büyük),True
Sticker Volume,Sticker Volume,İşaret Ses,True
Sticky Note,Sticky Note,Yapışkan Not,True
Sticky Note Text,Sticky Note Text,Yapışkan Not Metni,True
Eye Tear,Eye Tear,Göz Yaşı,True
Utensil,Utensil,Çatal Bıçak,True
Outfit Collar String,Outfit Collar String,Kıyafet Yaka İpi,True
Bell,Bell,Zil,True
Confetti 1,Confetti 1,Konfeti 1,True
Confetti 2,Confetti 2,Konfeti 2,True
Confetti 3,Confetti 3,Konfeti 3,True
Microphone,Microphone,Mikrofon,True
Gleam,Gleam,Video Kamera Işığı,True
Video Camera,Video Camera,Video kamera,True
Point Hand,Point Hand,İşaret Eden El,True
Bowl,Bowl,Kâse,True
Cake,Cake,Kek,True
Candle Fire,Candle Fire,Mum Ateşi,True
Drawing Tablet,Drawing Tablet,Çizim Tableti,True
Love Letter,Love Letter,Aşk Mektubu,True
Popper,Popper,Konfeti Patlatıcı,True
Stylus,Stylus,Çizim Tableti Kalemi,True
Tablet,Tablet,Tablet,True
Musical Note 1,Musical Note 1,Müzik Notası 1,True
Musical Note 2,Musical Note 2,Müzik Notası 2,True
Phone Screen,Phone Screen,Telefon Ekranı,True
Tail,Tail,Kuyruk,True
Tail Outline,Tail Outline,Kuyruk Anahat,True
Wing >>,Wing >>,Kanatlar >>,True
Wing >> Outline,Wing >> Outline,Kanatlar >> Anahat,True
Wing <<,Wing <<,Kanatlar <<,True
Wing << Outline,Wing << Outline,Kanatlar << Anahat,True
Cape,Cape,Pelerin,False
Cape Outline,Cape Outline,Cape Anahat,False
Cheek,Cheek,Yanak,False
Cockroach,Cockroach,Hamamböceği,False
Controller,Controller,Denetleyici,False
Donut,Donut,çörek,False
Earring >>,Earring >>,Küpe >>,False
Earring <<,Earring <<,Küpe <<,False
Earring >> Outline,Earring >> Outline,Küpe >> Anahat,False
Earring << Outline,Earring << Outline,Küpe << Anahat,False
Face Feature A >>,Face Feature A >>,Yüz Özelliği A >>,False
Face Feature A <<,Face Feature A <<,Yüz Özelliği A <<,False
Face Feature B >>,Face Feature B >>,Yüz Özelliği B >>,False
Face Feature B <<,Face Feature B <<,Yüz Özelliği B <<,False
Face Feature C,Face Feature C,Yüz Özelliği C,False
Facial Hair A,Facial Hair A,Sakal A,False
Facial Hair A Outline,Facial Hair A Outline,Yüz Saç Bir Anahat,False
Facial Hair B,Facial Hair B,Sakal B,False
Facial Hair B Outline,Facial Hair B Outline,Yüz Saç B Anahat,False
Glove >>,Glove >>,Eldiven >>,False
Glove >> Outline,Glove >> Outline,Eldiven >> Anahat,False
Glove <<,Glove <<,Eldiven <<,False
Glove << Outline,Glove << Outline,Eldiven << Anahat,False
Hand >>,Hand >>,El >>,False
Hand >> Outline,Hand >> Outline,El >> Anahat,False
Hand <<,Hand <<,El <<,False
Hand << Outline,Hand << Outline,El << Anahat,False
Gun,Gun,Silah,False
Gun Flash,Gun Flash,Silah Flaş,False
Lubricant,Lubricant,Yağlayıcı,False
Megaphone,Megaphone,Megafon,False
Nose,Nose,Burun,False
Piercing A >>,Piercing A >>,Delici A >>,False
Piercing A >> Outline,Piercing A >> Outline,Delme A >> Anahat,False
Piercing A <<,Piercing A <<,Delici A <<,False
Piercing A << Outline,Piercing A << Outline,Delici A << Anahat,False
Piercing B >>,Piercing B >>,Delici B >>,False
Piercing B >> Outline,Piercing B >> Outline,Delici B >> Anahat,False
Piercing B <<,Piercing B <<,Delici B <<,False
Piercing B << Outline,Piercing B << Outline,Delici B << Anahat,False
Pixel Sun Glasses,Pixel Sun Glasses,Piksel Güneş Gözlüğü,False
Pompom >>,Pompom >>,Ponpon >>,False
Pompom <<,Pompom <<,Ponpon <<,False
Spray,Spray,Sprey,False
Sticker Light Bulb,Sticker Light Bulb,Etiket Ampul,False
Sticker Loading,Sticker Loading,Çıkartma Yükleme,False
Sunglasses,Sunglasses,Güneş gözlüğü,False
Sunglasses Reflection,Sunglasses Reflection,Güneş Gözlüğü Yansıması,False
Tape,Tape,Kaset,False
Toilet,Toilet,Tuvalet,False
Trash Bin,Trash Bin,Çöp Kutusu,False
Wave Hand,Wave Hand,Dalga El,False
Swatter,Swatter,Sineklik,False
